DIC, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, Log(Force 1), Log(Force 2), Log(Force 3), Log(Force 4), Log(Displacement 1), Log(Displacement 2), Log(Displacement 3), Log(Displacement 4), 
Frame Id, Location u [pix], Location u [pix], Location u [pix], Location u [pix], Location v [pix], Location v [pix], Location v [pix], Location v [pix], Force 1, Force 2, Force 3, Force 4, Displacement 1, Displacement 2, Displacement 3, Displacement 4, 
, s0, s1, s2, s3, s0, s1, s2, s3, N, N, N, N, mm, mm, mm, mm, 
 ,,,,,,,,,,,,,,,,,
1,1559.585813,1553.741541,1412.644109,1402.625357,1294.164038,1478.706625,1450.315457,1291.798107,0.10061,0.02826,0.00524,0.05785,0.00368,0.00401,0.00499,0.0142, 
2,1559.708498,1553.877931,1412.831641,1402.705853,1294.056155,1478.661087,1450.034011,1291.78907,0.10389,0.03155,0.00688,0.05621,0.00039,0.00434,0.00434,0.00828, 
3,1559.752983,1553.916944,1412.99452,1402.816825,1294.124136,1478.746488,1449.808279,1291.654554,0.10389,0.0299,0.00853,0.04799,-0.00093,0.00105,0.00532,0.01058, 
4,1559.27188,1553.847062,1412.746251,1402.639546,1294.011037,1478.828547,1450.260881,1291.497633,0.10389,0.03155,0.01017,0.05621,0.00631,0.00434,0.00598,0.01289, 
5,1559.541083,1553.977235,1412.906205,1403.029705,1293.717594,1478.895581,1449.952876,1291.226778,0.10718,0.03319,0.00853,0.05621,0.00467,0.00203,0.00401,0.00565, 
6,1559.80791,1553.834666,1412.859779,1403.029649,1293.622976,1478.889129,1449.939762,1290.998584,0.09896,0.02826,0.00524,0.05457,0.00861,0.00335,0.00467,0.00434, 
7,1559.969981,1553.875049,1412.916803,1403.115719,1293.727041,1479.013251,1449.832865,1291.1245,0.10389,0.02826,0.00359,0.05292,0.00598,0.00368,0.00401,0.00664, 
8,1559.950824,1553.982707,1412.90176,1402.936298,1293.671196,1478.878595,1449.73358,1290.980481,0.10225,0.02826,0.00524,0.04963,0.01289,0.00203,0.00467,0.00598, 
9,1560.182551,1553.761637,1412.943313,1402.953869,1293.761009,1478.726914,1449.830415,1291.067409,0.10554,0.02826,0.00688,0.05128,0.01354,0.00203,0.00467,0.00499, 
10,1560.173433,1553.841815,1412.946313,1402.994979,1293.732021,1478.496075,1449.776334,1291.013083,0.10061,0.02826,0.00524,0.05621,0.01354,0.00269,0.00499,0.00434, 
11,1560.080536,1554.003205,1413.027444,1403.12997,1293.626566,1478.538582,1449.640685,1290.891184,0.10718,0.0299,0.01017,0.05621,0.01749,0.00434,0.00532,0.00434, 
12,1560.108347,1553.942421,1412.999837,1402.963247,1293.646246,1478.556433,1449.720244,1290.79704,0.10061,0.02826,0.00688,0.05621,0.01782,0.00499,0.00565,0.00302, 
13,1560.301174,1554.025278,1413.216847,1403.264604,1293.847059,1478.616651,1449.914512,1291.125673,0.10554,0.02826,0.00524,0.05457,0.01683,0.00302,0.00664,0.00565, 
14,1560.234274,1554.060803,1413.009196,1403.118432,1294.094633,1478.639458,1449.992251,1291.301284,0.10554,0.0299,0.00524,0.04963,0.01716,0.00335,0.00565,0.00269, 
15,1560.656539,1554.220221,1413.30256,1403.355923,1294.355174,1479.03048,1450.272769,1291.829616,0.11047,0.02826,0.01182,0.05128,0.0142,0.00467,0.00434,0.00236, 
16,1560.459767,1554.119727,1413.249018,1403.323403,1294.470841,1479.067817,1450.393063,1291.788573,0.10554,0.0299,0.00195,0.04963,0.02801,0.01223,0.01322,0.01585, 
17,1559.903498,1553.933121,1412.871719,1402.675437,1294.536635,1479.068691,1450.370447,1291.719168,0.10883,0.03484,0.00853,0.05621,0.0313,0.01979,0.01387,0.01716, 
18,1560.234367,1554.166401,1413.01996,1402.995938,1294.5758,1479.073282,1450.413546,1291.764935,0.10718,0.0299,0.00359,0.05292,0.03623,0.0336,0.02275,0.029, 
